codigo,nome,categoria,rua,predio,nivel,ap,validade,data_armazenado,quantidade,numero_lote,tipo,palete
620,ACC FHN FIT 1 5KG,Alimentação,1,6,0,5,11/09/2026,,1,L0057,AP,TERCO
620,ACC FHN FIT 1 5KG,Alimentação,1,6,0,5,26/10/2026,,1,L0058,AP,TERCO
620,ACC FHN FIT 1 5KG,Alimentação,1,6,0,5,11/10/2026,,1,L0059,AP,TERCO
592,ACC FHN MOTHER BABY 1 5KG,Alimentação,1,6,0,6,08/08/2026,,1,L0060,AP,TERCO
523,ACC FHN STERILISED 1 5KG,Alimentação,1,6,2,1,29/10/2026,1,1,L0061,AE,INTEIRO
752,ACC VDF GASTRO INTESTINAL 1 5KG,Veterinária,1,6,2,2,23/11/2026,1,1,L0062,AE,INTEIRO
1576,ACC VDC HYPOALLERGENIC MOD CALORIE 2KG,Veterinária,1,7,0,1,05/11/2026,,1,L0063,AP,MEIO
1576,ACC VDC HYPOALLERGENIC MOD CALORIE 2KG,Veterinária,1,7,0,1,01/08/2026,,1,L0064,AP,MEIO
157,ACC VDC GASTRO INTESTINAL 2KG,Veterinária,1,7,0,2,07/09/2026,,1,L0065,AP,MEIO
157,ACC VDC GASTRO INTESTINAL 2KG,Veterinária,1,7,0,2,27/08/2026,,1,L0066,AP,MEIO
1669,ACC VDC RENAL SMALL 2KG,Veterinária,1,7,0,3,15/09/2026,,1,L0067,AP,MEIO
1669,ACC VDC RENAL SMALL 2KG,Veterinária,1,7,0,3,10/10/2026,,1,L0068,AP,MEIO
1669,ACC VDC RENAL SMALL 2KG,Veterinária,1,7,0,3,20/11/2026,,1,L0069,AP,MEIO
1153,ACC VDC GASTRO INTESTINAL PUPPY 2KG,Veterinária,1,7,0,4,03/09/2026,,1,L0070,AP,MEIO
1153,ACC VDC GASTRO INTESTINAL PUPPY 2KG,Veterinária,1,7,0,4,15/11/2026,,1,L0071,AP,MEIO
618,ACC VDC GASTRO INTESTINAL LOW FAT 1 5KG,Veterinária,1,7,2,1,25/10/2026,1,1,L0072,AE,INTEIRO
1296,ACC VDC SATIETY SMALL DOG 1 5KG,Veterinária,1,7,2,2,17/09/2026,1,1,L0073,AE,INTEIRO
184,ACC VDF URINARY S O 1 5KG,Veterinária,1,8,0,1,24/10/2026,,1,L0074,AP,MEIO
184,ACC VDF URINARY S O 1 5KG,Veterinária,1,8,0,1,12/08/2026,,1,L0075,AP,MEIO
1300,ACC FCN DIGESTIVE CARE 1 5KG,Alimentação,1,8,0,2,14/10/2026,,1,L0076,AP,MEIO
1300,ACC FCN DIGESTIVE CARE 1 5KG,Alimentação,1,8,0,2,22/11/2026,,1,L0077,AP,MEIO
1300,ACC FCN DIGESTIVE CARE 1 5KG,Alimentação,1,8,0,2,14/11/2026,,1,L0078,AP,MEIO
1300,ACC FCN DIGESTIVE CARE 1 5KG,Alimentação,1,8,0,2,14/08/2026,,1,L0079,AP,MEIO
621,ACC FHN HAIR SKIN CARE 1 5KG,Alimentação,1,8,0,3,25/08/2026,,1,L0080,AP,TERCO
704,ACC FCN APPETITE CONTROL 1 5KG,Alimentação,1,8,0,4,01/02/2026,,1,L0081,AP,TERCO
704,ACC FCN APPETITE CONTROL 1 5KG,Alimentação,1,8,0,4,10/01/2026,,1,L0082,AP,TERCO
1298,ACC VDF SATIETY 1 5KG,Veterinária,1,8,0,5,16/11/2026,,1,L0083,AP,MEIO
1298,ACC VDF SATIETY 1 5KG,Veterinária,1,8,0,5,09/09/2026,,1,L0084,AP,MEIO
1298,ACC VDF SATIETY 1 5KG,Veterinária,1,8,0,5,23/10/2026,,1,L0085,AP,MEIO
523,ACC FHN STERILISED 1 5KG,Alimentação,1,8,2,1,28/11/2026,1,1,L0086,AE,INTEIRO
177,ACC VDF HYPOALLERGENIC 1 5KG,Veterinária,1,8,2,2,11/11/2026,1,1,L0087,AE,INTEIRO
168,ACC VDC HEPATIC 2KG,Veterinária,1,9,0,1,06/08/2026,,1,L0088,AP,MEIO
168,ACC VDC HEPATIC 2KG,Veterinária,1,9,0,1,30/03/2026,,1,L0089,AP,MEIO
162,ACC VDC URINARY S O 2KG,Veterinária,1,9,0,2,01/09/2026,,1,L0090,AP,MEIO
162,ACC VDC URINARY S O 2KG,Veterinária,1,9,0,2,14/10/2026,,1,L0091,AP,MEIO
162,ACC VDC URINARY S O 2KG,Veterinária,1,9,0,2,20/11/2026,,1,L0092,AP,MEIO
1451,ACC VDC RENAL SPECIAL 2KG,Veterinária,1,9,0,3,22/10/2026,,1,L0093,AP,MEIO
1451,ACC VDC RENAL SPECIAL 2KG,Veterinária,1,9,0,3,26/07/2026,,1,L0094,AP,MEIO
164,ACC VDC CARDIAC 2KG,Veterinária,1,9,0,4,16/09/2026,,1,L0095,AP,TERCO
1154,ACC VDC GASTRO INTESTINAL HIGH FIBRE 2KG,Veterinária,1,9,0,5,04/09/2026,,1,L0096,AP,TERCO
1154,ACC VDC GASTRO INTESTINAL HIGH FIBRE 2KG,Veterinária,1,9,0,5,16/10/2026,,1,L0097,AP,TERCO
1157,ACC VDC GASTRO INTESTINAL MOD CALORIE 2K,Veterinária,1,9,0,6,20/08/2026,,1,L0098,AP,MEIO
618,ACC VDC GASTRO INTESTINAL LOW FAT 1 5KG,Veterinária,1,9,2,2,16/08/2026,1,1,L0099,AE,INTEIRO
752,ACC VDF GASTRO INTESTINAL 1 5KG,Veterinária,1,10,0,1,14/09/2026,,1,L0100,AP,TERCO
752,ACC VDF GASTRO INTESTINAL 1 5KG,Veterinária,1,10,0,1,23/10/2026,,1,L0101,AP,TERCO
177,ACC VDF HYPOALLERGENIC 1 5KG,Veterinária,1,10,0,2,09/07/2026,,1,L0102,AP,TERCO
186,ACC VDF RENAL 1 5KG,Veterinária,1,10,0,3,17/09/2026,,1,L0103,AP,MEIO
186,ACC VDF RENAL 1 5KG,Veterinária,1,10,0,3,22/07/2026,,1,L0104,AP,MEIO
186,ACC VDF RENAL 1 5KG,Veterinária,1,10,0,3,05/09/2026,,1,L0105,AP,MEIO
1707,ACC VDF GI HYDROL PROT 1 5KG,Veterinária,1,10,0,4,06/11/2026,,1,L0106,AP,MEIO
13,ACC VDF HEPATIC FELINE 1 5KG,Veterinária,1,10,0,5,06/08/2026,,1,L0107,AP,TERCO
13,ACC VDF HEPATIC FELINE 1 5KG,Veterinária,1,10,0,5,21/10/2026,,1,L0108,AP,TERCO
884,ACC VDF GI FIBRE RESPONSE 1 5KG,Veterinária,1,10,0,6,22/10/2026,,1,L0109,AP,TERCO
188,ACC VDF DIABETIC 1 5KG,Veterinária,1,10,0,7,14/08/2026,,1,L0110,AP,TERCO
874,ACC VDF RENAL SPECIAL 1 5KG,Veterinária,1,10,0,8,07/10/2026,,1,L0111,AP,TERCO
874,ACC VDF RENAL SPECIAL 1 5KG,Veterinária,1,10,0,8,20/09/2026,,1,L0112,AP,TERCO
177,ACC VDF HYPOALLERGENIC 1 5KG,Veterinária,1,10,2,1,09/07/2026,1,1,L0113,AE,INTEIRO
884,ACC VDF GI FIBRE RESPONSE 1 5KG,Veterinária,1,10,2,2,14/08/2026,1,1,L0114,AE,INTEIRO
1673,ACC SHN MAXI PUPPY JR 4KG,Geral,2,1,0,1,27/08/2026,,1,L0115,AP,TERCO
1661,ACC VHN ANALLERGENIC CANINE 4KG,Geral,2,1,0,2,23/09/2025,,1,L0116,AP,TERCO
1661,ACC VHN ANALLERGENIC CANINE 4KG,Geral,2,1,0,2,23/12/2025,,1,L0117,AP,TERCO
1578,ACC VDF HYPOALLERGENIC 4KG,Veterinária,2,1,0,3,08/04/2026,,1,L0118,AP,MEIO
1578,ACC VDF HYPOALLERGENIC 4KG,Veterinária,2,1,0,3,09/07/2026,,1,L0119,AP,MEIO
1331,ACC SBN MALTES AD 2 5KG,Geral,2,1,0,4,13/09/2026,,1,L0120,AP,MEIO
1331,ACC SBN MALTES AD 2 5KG,Geral,2,1,0,4,10/08/2026,,1,L0121,AP,MEIO
1630,ACC CCN MINI DIGEST CARE 2 5KG,Cuidados,2,1,0,5,09/08/2026,,1,L0122,AP,MEIO
1630,ACC CCN MINI DIGEST CARE 2 5KG,Cuidados,2,1,0,5,10/07/2026,,1,L0123,AP,MEIO
1715,ACC VDC G. I. LOW FAT SMALL DOG 1 5KG,Veterinária,2,1,2,1,25/10/2026,2,1,L0124,AE,INTEIRO
1296,ACC VDC SATIETY SMALL DOG 1 5KG,Veterinária,2,1,2,2,16/10/2026,2,1,L0125,AE,INTEIRO
1347,ACC SHN MINI INDOOR PUPPY JR 2 5K,Geral,2,2,0,1,19/08/2026,,1,L0126,AP,MEIO
1358,ACC SHN MINI INDOOR ADULT 2 5KG,Geral,2,2,0,2,30/08/2026,,1,L0127,AP,MEIO
1355,ACC SBN BULLDOG FRANCES PUPPY 2 5KG,Geral,2,2,0,3,01/02/2026,,1,L0128,AP,MEIO
1339,ACC SHN X-SMALL AD 8 2 5KG,Geral,2,2,0,4,31/08/2026,,1,L0129,AP,MEIO
1358,ACC SHN MINI INDOOR ADULT 2 5KG,Geral,2,2,2,1,19/09/2026,2,1,L0130,AE,INTEIRO
1329,ACC SBN SHIH TZU AD 2 5KG,Geral,2,2,2,2,12/10/2026,2,1,L0131,AE,INTEIRO
1579,ACC VDF SATIETY 4KG,Veterinária,2,3,0,1,06/09/2026,,1,L0132,AP,MEIO
1579,ACC VDF SATIETY 4KG,Veterinária,2,3,0,1,02/09/2026,,1,L0133,AP,MEIO
1577,ACC VDF GASTRO INTESTINAL 4KG,Veterinária,2,3,0,2,20/09/2026,,1,L0134,AP,MEIO
1577,ACC VDF GASTRO INTESTINAL 4KG,Veterinária,2,3,0,2,26/08/2026,,1,L0135,AP,MEIO
1577,ACC VDF GASTRO INTESTINAL 4KG,Veterinária,2,3,0,2,23/10/2026,,1,L0136,AP,MEIO
46,ACC SBN YORKSHIRE AD 8 2 5KG,Geral,2,3,0,3,22/04/2026,,1,L0137,AP,TERCO
1341,ACC SBN YORKSHIRE PUPPY 2 5KG,Geral,2,3,0,4,19/07/2026,,1,L0138,AP,TERCO
1341,ACC SBN YORKSHIRE PUPPY 2 5KG,Geral,2,3,0,4,29/05/2026,,1,L0139,AP,TERCO
1350,ACC SBN BULLDOG FRANCES AD 2 5KG,Geral,2,3,0,5,27/10/2026,,1,L0140,AP,MEIO
1350,ACC SBN BULLDOG FRANCES AD 2 5KG,Geral,2,3,0,5,13/10/2026,,1,L0141,AP,MEIO
1579,ACC VDF SATIETY 4KG,Veterinária,2,3,2,1,23/10/2026,2,1,L0142,AE,INTEIRO
1329,ACC SBN SHIH TZU AD 2 5KG,Geral,2,3,2,2,12/10/2026,2,1,L0143,AE,INTEIRO
1329,ACC SBN SHIH TZU AD 2 5KG,Geral,2,4,0,1,08/08/2026,,1,L0144,AP,MEIO
1329,ACC SBN SHIH TZU AD 2 5KG,Geral,2,4,0,1,06/09/2026,,1,L0145,AP,MEIO
1485,ACC SHN MINI INDOOR SENIOR 2 5 KG,Geral,2,4,0,2,10/09/2026,,1,L0146,AP,MEIO
1485,ACC SHN MINI INDOOR SENIOR 2 5 KG,Geral,2,4,0,2,18/08/2026,,1,L0147,AP,MEIO
1334,ACC SHN MINI ADULT 8 2 5KG,Geral,2,4,0,3,03/09/2026,,1,L0148,AP,MEIO
1334,ACC SHN MINI ADULT 8 2 5KG,Geral,2,4,0,3,12/10/2026,,1,L0149,AP,MEIO
1336,ACC SHN MINI PUPPY JR 2 5KG,Geral,2,4,0,4,12/09/2026,,1,L0150,AP,MEIO
1485,ACC SHN MINI INDOOR SENIOR 2 5 KG,Geral,2,4,2,1,10/10/2026,2,1,L0151,AE,INTEIRO
1358,ACC SHN MINI INDOOR ADULT 2 5KG,Geral,2,4,2,2,21/10/2026,2,1,L0152,AE,INTEIRO
1581,ACC VDF URINARY S O 4KG,Veterinária,2,5,0,1,26/08/2026,,1,L0153,AP,TERCO
1623,ACC VDF RENAL SPECIAL 4KG,Veterinária,2,5,0,2,20/09/2026,,1,L0154,AP,TERCO
1622,ACC VDF RENAL 4KG,Veterinária,2,5,0,3,17/09/2026,,1,L0155,AP,TERCO
1622,ACC VDF RENAL 4KG,Veterinária,2,5,0,3,31/10/2026,,1,L0156,AP,TERCO
1453,ACC FHN KITTEN 4KG,Alimentação,2,5,0,4,28/10/2026,,1,L0157,AP,TERCO
1344,ACC SBN PUG AD 2 5KG,Geral,2,5,0,5,16/07/2026,,1,L0158,AP,MEIO
1340,ACC SHN MEDIUM ADULT 2 5KG,Geral,2,5,0,6,22/10/2026,,1,L0159,AP,MEIO
1020,ACC VDC HYPOALLERGENIC SMALL 2KG,Veterinária,2,5,2,1,06/08/2026,2,1,L0160,AE,INTEIRO
1577,ACC VDF GASTRO INTESTINAL 4KG,Veterinária,2,5,2,2,23/10/2026,2,1,L0161,AE,INTEIRO
1343,ACC SBN YORKSHIRE AD 2 5KG,Geral,2,6,0,1,21/07/2026,,1,L0162,AP,MEIO
1343,ACC SBN YORKSHIRE AD 2 5KG,Geral,2,6,0,1,12/10/2026,,1,L0163,AP,MEIO
1343,ACC SBN YORKSHIRE AD 2 5KG,Geral,2,6,0,1,10/09/2026,,1,L0164,AP,MEIO
1337,ACC SHN X-SMALL AD 2 5KG,Geral,2,6,0,2,22/07/2026,,1,L0165,AP,MEIO
1346,ACC SBN SHIH TZU PUPPY 2 5KG,Geral,2,6,0,3,16/09/2026,,1,L0166,AP,MEIO
1346,ACC SBN SHIH TZU PUPPY 2 5KG,Geral,2,6,0,3,11/06/2026,,1,L0167,AP,MEIO
1346,ACC SBN SHIH TZU PUPPY 2 5KG,Geral,2,6,0,3,27/03/2026,,1,L0168,AP,MEIO
1354,ACC SHN X-SMALL PUPPY JR 2 5 K,Geral,2,6,0,4,25/10/2026,,1,L0169,AP,MEIO
1354,ACC SHN X-SMALL PUPPY JR 2 5 K,Geral,2,6,0,4,14/09/2026,,1,L0170,AP,MEIO
1337,ACC SHN X-SMALL AD 2 5KG,Geral,2,6,2,1,25/10/2026,2,1,L0171,AE,INTEIRO
618,ACC VDC GASTRO INTESTINAL LOW FAT 1 5KG,Veterinária,2,6,2,2,25/10/2026,2,1,L0172,AE,INTEIRO
1455,ACC FHN STERILISED 37 4KG,Alimentação,2,7,0,1,11/10/2026,,1,L0173,AP,MEIO
1455,ACC FHN STERILISED 37 4KG,Alimentação,2,7,0,1,14/11/2026,,1,L0174,AP,MEIO
1455,ACC FHN STERILISED 37 4KG,Alimentação,2,7,0,1,17/08/2026,,1,L0175,AP,MEIO
1561,ACC FHN STERILISED 7 4KG,Alimentação,2,7,0,2,02/09/2026,,1,L0176,AP,MEIO
1561,ACC FHN STERILISED 7 4KG,Alimentação,2,7,0,2,11/10/2026,,1,L0177,AP,MEIO
1620,ACC SHN MINI RELAX CARE 2 5 KG,Cuidados,2,7,0,3,26/07/2025,,1,L0178,AP,TERCO
1361,ACC SHN MEDIUM PUPPY JR 2 5KG,Geral,2,7,0,4,20/07/2026,,1,L0179,AP,TERCO
1361,ACC SHN MEDIUM PUPPY JR 2 5KG,Geral,2,7,0,4,31/08/2026,,1,L0180,AP,TERCO
1352,ACC SBN DACHSHUND AD 2 5KG,Geral,2,7,0,5,23/07/2026,,1,L0181,AP,TERCO
1352,ACC SBN DACHSHUND AD 2 5KG,Geral,2,7,0,5,18/09/2026,,1,L0182,AP,TERCO
1470,ACC SBN PUG PUPPY 2 5KG,Geral,2,7,0,6,07/02/2026,,1,L0183,AP,TERCO
1470,ACC SBN PUG PUPPY 2 5KG,Geral,2,7,0,6,11/09/2025,,1,L0184,AP,TERCO
618,ACC VDC GASTRO INTESTINAL LOW FAT 1 5KG,Veterinária,2,7,2,1,10/08/2026,2,1,L0185,AE,INTEIRO
1358,ACC SHN MINI INDOOR ADULT 2 5KG,Geral,2,7,2,2,30/08/2026,2,1,L0186,AE,INTEIRO
1359,ACC SHN MINI ADULT 2 5KG,Geral,2,8,0,1,18/09/2026,,1,L0187,AP,MEIO
1328,ACC SHN MINI LIGHT 2 5KG,Geral,2,8,0,2,27/10/2026,,1,L0188,AP,MEIO
1328,ACC SHN MINI LIGHT 2 5KG,Geral,2,8,0,2,28/08/2026,,1,L0189,AP,MEIO
1328,ACC SHN MINI LIGHT 2 5KG,Geral,2,8,0,2,09/10/2026,,1,L0190,AP,MEIO
1348,ACC SBN POODLE AD 2 5KG,Geral,2,8,0,3,25/02/2026,,1,L0191,AP,TERCO
1348,ACC SBN POODLE AD 2 5KG,Geral,2,8,0,3,08/06/2026,,1,L0192,AP,TERCO
1360,ACC SBN DACHSHUND PUPPY 2 5KG,Geral,2,8,0,4,08/10/2025,,1,L0193,AP,TERCO
1363,ACC SBN MALTES PUPPY 2 5KG,Geral,2,8,0,5,,,1,L0194,AP,TERCO
1345,ACC SBN SCHNAUZER AD 2 5KG,Geral,2,8,0,6,25/07/2026,,1,L0195,AP,TERCO
1345,ACC SBN SCHNAUZER AD 2 5KG,Geral,2,8,0,6,10/06/2026,,1,L0196,AP,TERCO
1296,ACC VDC SATIETY SMALL DOG 1 5KG,Veterinária,2,8,2,1,31/08/2026,2,1,L0197,AE,INTEIRO
1020,ACC VDC HYPOALLERGENIC SMALL 2KG,Veterinária,2,8,2,2,14/04/2026,2,1,L0198,AE,INTEIRO
1454,ACC FHN EXIGENT 4KG,Alimentação,2,9,0,1,14/09/2026,,1,L0199,AP,MEIO
1454,ACC FHN EXIGENT 4KG,Alimentação,2,9,0,1,15/08/2026,,1,L0200,AP,MEIO
1541,ACC FHN KITTEN STERILISED 4 0KG,Alimentação,2,9,0,2,10/02/2026,,1,L0201,AP,TERCO
1541,ACC FHN KITTEN STERILISED 4 0KG,Alimentação,2,9,0,2,25/03/2026,,1,L0202,AP,TERCO
1456,ACC FHN SENSIBLE 33 4KG,Alimentação,2,9,0,3,31/08/2026,,1,L0203,AP,TERCO
1619,ACC SHN MINI COAT CARE 2 5 KG,Cuidados,2,9,0,4,23/07/2026,,1,L0204,AP,TERCO
1619,ACC SHN MINI COAT CARE 2 5 KG,Cuidados,2,9,0,4,19/09/2026,,1,L0205,AP,TERCO
216,ACC CCN MINI DENTAL CARE 2 5KG,Cuidados,2,9,0,5,,,1,L0206,AP,TERCO
1689,ACC FCN DIGESTIVE CARE 3KG,Alimentação,2,9,0,6,14/08/2026,,1,L0207,AP,TERCO
1689,ACC FCN DIGESTIVE CARE 3KG,Alimentação,2,9,0,6,31/08/2026,,1,L0208,AP,TERCO
1690,ACC FHN HAIR SKIN CARE 3KG,Alimentação,2,9,0,7,25/08/2026,,1,L0209,AP,TERCO
1347,ACC SHN MINI INDOOR PUPPY JR 2 5K,Geral,2,9,2,1,08/10/2026,2,1,L0210,AE,INTEIRO
1527,ACC SBN POMERANIAN ADULT 2 5KG,Geral,2,9,2,2,10/10/2026,2,1,L0211,AE,INTEIRO
1353,ACC SHN MINI DERMACOMFORT 2 5KG,Geral,2,10,0,1,01/09/2026,,1,L0212,AP,MEIO
1353,ACC SHN MINI DERMACOMFORT 2 5KG,Geral,2,10,0,1,13/10/2026,,1,L0213,AP,MEIO
1527,ACC SBN POMERANIAN ADULT 2 5KG,Geral,2,10,0,2,10/08/2026,,1,L0214,AP,MEIO
1351,ACC SHN MINI AGEING 12 2 5KG,Geral,2,10,0,3,20/10/2026,,1,L0215,AP,MEIO
1674,ACC SBN GOLDEN PUPPY 3KG,Geral,2,10,0,4,08/08/2025,,1,L0216,AP,TERCO
1674,ACC SBN GOLDEN PUPPY 3KG,Geral,2,10,0,4,16/05/2026,,1,L0217,AP,TERCO
1461,ACC SHN MEDIUM DERMACOMFORT 2 5 KG,Geral,2,10,0,5,16/10/2026,,1,L0218,AP,TERCO
1461,ACC SHN MEDIUM DERMACOMFORT 2 5 KG,Geral,2,10,0,5,10/08/2026,,1,L0219,AP,TERCO
1358,ACC SHN MINI INDOOR ADULT 2 5KG,Geral,2,10,2,1,09/10/2026,2,1,L0220,AE,INTEIRO
1359,ACC SHN MINI ADULT 2 5KG,Geral,2,10,2,2,14/10/2026,2,1,L0221,AE,INTEIRO
1359,ACC SHN MINI ADULT 2 5KG,Geral,2,10,2,2,07/10/2026,2,1,L0222,AE,INTEIRO
1359,ACC SHN MINI ADULT 2 5KG,Geral,2,10,2,2,31/10/2026,2,1,L0223,AE,INTEIRO
1562,ACC FHN MOTHER BABY 4 0KG,Alimentação,2,11,0,1,14/09/2026,,1,L0224,AP,TERCO
1468,ACC FBN MAINE COON 31 4KG,Alimentação,2,11,0,2,02/11/2026,,1,L0225,AP,TERCO
1468,ACC FBN MAINE COON 31 4KG,Alimentação,2,11,0,2,11/08/2026,,1,L0226,AP,TERCO
1677,ACC FHN STERILISED 12 4KG,Alimentação,2,11,0,3,28/08/2026,,1,L0227,AP,MEIO
1677,ACC FHN STERILISED 12 4KG,Alimentação,2,11,0,3,21/09/2026,,1,L0228,AP,MEIO
1677,ACC FHN STERILISED 12 4KG,Alimentação,2,11,0,3,15/10/2026,,1,L0229,AP,MEIO
